Lorideathtobee1,16,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""New Radicals - You Get What You Give (Official Video) https://t.co/KiScnOoMui via @YouTube"""
Doug_Tilley,6167,92,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""YOU
HAVE
NO
GOOD
CAR
IDEAS
https://t.co/XNZVixhF5e"""
kayani_razzaq,2,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""I m looking"""
carlHar15229533,1443,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""was this part of Epstein mess:Largest Child Porn Bust in History Ignored... https://t.co/MuXVu5Ck6a via @YouTube"""
faithproducers,290,100,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""MYSTERIES: TRUTH YET TO BE REVEALED/ A DAILY DEVOTION WITH DR GEORGE WAT... https://t.co/tKtgP8Gb6c via @YouTube
What exciting adventure will you discover today?"""
stephgrout72,1011,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""PREACH"""
Artemis01069739,655,94,NEU,DISAGREEMENT,OBJECTIVE,NONIRONIC,"""ATTACK LIFE - 2019 Motivational Video https://t.co/2neCfz4tKV"""
foster_nd,57,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Here is a video I did on dieting, different types of diets, and why certain diets may work for you and some won't! Why Can't I LOSE Weight??? https://t.co/9NCRLA8g6M via @YouTube #Dieting #diets #keto #paleo #atkins #bloodtype #naturalhealth #weightloss"""
jefe_the_don,3039,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""WELCOME TO 680 OUT NOW 
B #applemusic #soundcloud #airtimemusi???? #spotify #soundcloud #datpiff #tidal #itsdelacom #hot97whosnext 
#hot97 #vice #rollingloud #coachella #power105 #iheartradio 
https://t.co/1cBxqpcJwr"""
peres,3286,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""""The Maltese potatoes are the best potatoes around the world"" big claim boi! 
https://t.co/d5cLMtBqMX"""
GETATUI,28,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Poo Bear feat. Anitta - Will I See You (Official Music Video) https://t.co/AZmDr3cD0q via @YouTube"""
itsbeen_REL,769,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Factual Facts !!!"""
JeffBerkowitzPA,231,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""IL define 2020 Presidential issues @ Republican Day in Springfield? Watch @GovPritzker @SenatorRezin &amp; @RepLaHood cameos &amp; [21:00 to 29:00] https://t.co/VZO1iPUL5M @PoliticalEditor @capitolfax @ShiaKapos @illinoispolicy @Wirepoints @Reform4Illinois @ILGOP @ChicagoGOP @wttw"""
MorningHangover,8385,100,P+,AGREEMENT,OBJECTIVE,NONIRONIC,"""#TopShelf congrats to @DanAndShay on #AllToMyself becoming their sixth career #1 hit at #CountryRadio via @morninghangover: https://t.co/IQdTVa2CZ8"""
WOODLAYER77,6658,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""HEADLINES! SMELLY PANTS CLINTON &amp; POCAHONTAS LEAD DEMOCRAT PATHOLOGICAL ... https://t.co/HYDPwqsFo2 via @YouTube"""
jenni7283,366,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#fantasticfest2019 Spreadsheet (updated): https://t.co/3F4oopJWhI, YouTube Playlist (updated): https://t.co/tcsUMAadZn, Letterboxd List (working on it): https://t.co/sqGpQTUMmO @fantasticfest"""
adamgriffiths,3037,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""$10 says this will feel like it would have been better on the stage with the same cast"""
videosean,46,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""The Biggest Bottleneck EVER? - LattePanda + RTX Titan - YouTube - https://t.co/rcwWWbsy4C"""
Gottagetdatcash,41,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""@Shrikle gonna win this for you"""
BubblePins,129,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Tutorial Assets almost ready for recording!
https://t.co/AsV5eaFXtz

#digitalart #cgi #3dart #Houdini #sidefx #render #art  #WIP #dailyrender #3dartist #heightfield #terrain #environment #mountains #landscape #vfx #3d #redshift https://t.co/buCGs6OFSg"""
grammar_with,21,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Authentic Exercises
https://t.co/NauR8LcbV8
@MaryfunEnglish @KimBowmanTESOL @hbedir66 @miguelmigo @gregsawyerefl @isela_rali @ESLTutorial @missmj35 @thekayaaaa @LuquezVero @southards10 @AlcMountjoy @mervebalaban__ @rosemarycolon @EnasSeif3 @NativJapan @h_shujaa @CreolePhoenix"""
suhornygirl,56,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""but really REALLY need this yohan again miss him... https://t.co/rJXS5O5zrK"""
SteveSm41425283,5,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""@LanceMcAlister It needs to go all the way around including the Outfield. This guy got knocked cold.  https://t.co/g8UV9D1Rpl"""
KandaIvan,228,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Panic, Terror, and Near Drowning: The Forced Swim Test https://t.co/rO2FFxOlKo via @YouTube"""
BigBoyTables,6,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Paul Booth Brought a 'Box of Babies' to Phil Anselmo's House | Paul Booth's Last Rites https://t.co/ac35xZ1E27"""
georgevictorlg,887,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""ILHAS DE CRISTAL // RUINAS DO DESERTO - SPYRO 3: YEAR OF THE DRAGON - Pa... https://t.co/Xr6157iDQd via @YouTube"""
midnitescorpio,119,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@_jeunefleur  girl i cant stop laUGHING https://t.co/UIaOQXmHCj"""
utahan15,565,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""Robert Plant | 'Ship of Fools' | Official Music Video https://t.co/Rd9gu0fbwW via @YouTube"""
legarbreh,318,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Metronomy - Salted Caramel Ice Cream (Official Music Video) https://t.co/HjeE5omrZW via @YouTube"""
stacymartinez22,0,100,N,AGREEMENT,OBJECTIVE,NONIRONIC,"""Whine Up (English Version) https://t.co/fvyuXYdiX0 via @YouTube"""
UNXTURNERDAJEW,291,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Rocky start but il get it, Suscribe now!

https://t.co/80rrvkUbzw"""
CandiceDionysus,65,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""I think @SomeMoreNews is my favorite currently running US News Show, and @drmistercody is definitely my favorite currently reporting US News Dude. 
Newest video https://t.co/vCG8GRdpxp via @YouTube"""
LilleFregnedeLo,49,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Pingu's 'The Thing' AKA THINGU by Lee Hardcastle https://t.co/X8Sd6DDB8g"""
bovonsavage,296,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""NEW VIDEO SATURDAY 

No$kope ~ FIN (WavvyFM Premiere - Official Music Video) https://t.co/NCk5LbWAfq via @YouTube"""
TaylorRMarshall,31974,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""#TnT Podcast on: Co-Redemptrix??? 4 Marian Dogmas and the 5th Marian Dogma of Co-Redemptrix https://t.co/nsBt6zpboc via @YouTube"""
JamesEFinch,15970,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Good Morning, Starshine by Oliver
https://t.co/y4JimlgLCL"""
ludovicchoupo,864,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""PewDiePie Married: YouTube Star Reveals He's Wed Marzia Bisognin After 8 Years Together https://t.co/UiNNvuWk7a"""
thejunebugfreak,12303,94,NEU,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""""Cease to know or to tell
Or to see or to be your own
Have someone else's will as your own
You are beautiful and you are alone"" 

Nico - Afraid
https://t.co/1p2VJn6VZM

Screen Test by Andy Warhol, 1966. https://t.co/TN1jWTIMqu"""
GIZM0CAT,216,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""I can't picture future games without this feature...meow"""
anutamarius,103,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Andy Jornee - Eternal Sunrise (Original Mix) Universe7 Recordings [Promo... https://t.co/8HBUYYDQmc via @YouTube"""
becker_cpa,94,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Resiliency - Motivational Video https://t.co/k9iswZi7Rs via @YouTube"""
tylerdrama,736,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""youtube: https://t.co/jpWYtzUcTZ
spotify: https://t.co/e2IqASbjBX
apple music: https://t.co/dGaQpDkTjj
google play: https://t.co/acMSLXvmEp"""
lethalriver,4207,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""winter bear 14M de views 2.5M likes no youtube e #1 no Top50 Pop do soundcloud scenery #4 e 4 oclock #13 singularity mantem +100k diarios no youtube e spotifya vlive continua top3 nos charts taehyung stans estamos fazendo um otimo trabalho"""
kevwilds,402,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""1986-husband and wife duo Timbuk3 hit #19 US, #21 UK with a single from their debut album
""The Futures So Bright, I Gotta Wear Shades"". #Music https://t.co/12fBadQ6Xf via @YouTube"""
fuckyourmercy19,16,92,P+,AGREEMENT,SUBJECTIVE,NONIRONIC,"""@BriansHugeHead @TIME @felizysolo I believe there is a cultural misunderstanding.
No racist meaning behind their usage of Pepe.
https://t.co/yIxvADy7l5"""
BrianFaughnan,5629,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@AmeliaHammy @Gormogons Like Ingrid.
https://t.co/GmuMNZXoXQ"""
dmasley,2027,97,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""@MarcosLovesUSA @WalshFreedom @AndrewYang Haha well you do you, that's your right.

Have you seen @AndrewYang though? He even has respect and support from @benshapiro and @TuckerCarlson, worth checking out.

https://t.co/ZesWvgnWjw"""
ocloolikese897,41,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""advance healthcare directive https://t.co/qhN1WiAo9O

https://t.co/uias2AsQQS"""
CrissThief,24,94,P,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""New Upload! Please go show it love! it helps me out! thank you!
Jack Vs  Lava https://t.co/upWfC2tnJ6 via @YouTube"""
joshonhis_jo,1661,94,P,DISAGREEMENT,OBJECTIVE,NONIRONIC,"""Turning Problems into Opportunities - Grant Cardone https://t.co/oSsZR0cBqp via @YouTube"""
LambsNottingham,919,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Brown Eyed Traveller Queen https://t.co/Gm9HaeVFxV via @YouTube"""
BigS_iAteFoods,9,100,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""I liked a @YouTube video https://t.co/djURAxi789 Numb - Linkin Park | Rob Landes Violin Cover (with loop pedal)"""
AngelaH25586683,1627,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""@YouTube I, SoulSista Got To Whistle, While I Work It! https://t.co/IKpmWU09eA"""
dollsruleok,79,100,N,AGREEMENT,SUBJECTIVE,NONIRONIC,"""How It Works https://t.co/px8w3WrUvO via @YouTube ha ha new but weird sanatory towls of the future sanatory towl knickers ha ha lol"""
FixYouTubeBot,21,92,P,AGREEMENT,SUBJECTIVE,NONIRONIC,"""You're on a downward spiral but it's not too late to pick yourself back up again. @YouTube"""
Eye0fOne,77,97,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Some fun Whistler trails. Rolls and slabs. 
https://t.co/l70e7WoNie"""
MorningHangover,8385,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""watch @carolinejones perform #ToughGuys on @FallonTonight : https://t.co/HIyJVecJII"""
guilhermewells,644,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Peregrine Falcons are Feathered Fighter Jets, Basically | Deep Look https://t.co/ArXqVRgLVG via @YouTube"""
Dbender22,405,94,NEU,DISAGREEMENT,OBJECTIVE,NONIRONIC,"""AMEN!!! @IlhanMN @RashidaTlaib @AOC #MAGA2020Landslide #BlackNotDemocrat #Blacktwitter #BlacksForTrump 
Watch ""Watch Smart Black Man CALMLY DISMANTLE Ilhan Omar and Rashida Tlaib"" on YouTube https://t.co/QsqGuryRwS"""
ChrisCerrone15,4643,100,P,AGREEMENT,OBJECTIVE,NONIRONIC,"""Yes, young people, you can save the planet and make a difference.... you can do it in your local community."""
Tranzportz1,1770,98,N+,AGREEMENT,OBJECTIVE,NONIRONIC,"""Big Trouble On Little Bikes: Honda Monkey vs Yamaha Zuma https://t.co/jXj31tNtYU"""
misayid114,12,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Purify Your Heart Now!  | Must Watch by Mufti Ismail Menk https://t.co/59IX76JQ8b via @YouTube"""
Andrew3176,890,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""Martin Larner + CKP - Sidewinder &amp; Remembrance Xmas Ball 2005 https://t.co/7m28M6FrQm via @YouTube"""
always_run1,142,100,NONE,AGREEMENT,OBJECTIVE,NONIRONIC,"""New Video Out On YouTube, Grind Is Real

https://t.co/WDhepil5E9"""
GetMyGist,761,94,N,DISAGREEMENT,SUBJECTIVE,NONIRONIC,"""@NikolovScience @Willard1951 @dvibrationz @MGTOWDarkKnight @EdwardsVernon2 @RegimeChangeBC @GeraldKutney @MATTP1949 @Cole59818957 @badmoonrising11 @Kenneth72712993 @DawnTJ90 @CymaticWave @rln_nelson @Bananenrijperij @PolAnimalAus @4Tswizzle @EthonRaptor @StormSignalSA @Silence54994655 @ianbrow97534170 @tiegand13 @donva56 @n_the_mountains @DonWils13730132 @lunatictrader1 @Gladfly1 @Sanity1013 @GillesnFio @JamesAbbott2013 @d_e_mol @EcoSenseNow @3GHtweets @GStandtrue @ElQuesoSabio @KIVUNature @ClimatePoet @Tokyo_Tom @BradSchrag @SturmLLiouville @UvMeter @swcrisis @LarkRellez @dgweld @JaggerMickOZ @Tangomitteckel @JohnBurnieTas @Rail4Eva @dunvirkin LOL, ad hominem = we're #winning 

Who is the @ametsoc? Founded 1919. 

~1902 #Culex were downplayed as a disease vector. 

Experiments with Aedes as a vector were carried out during JFK days.

Mann's glitch (alone) = #scientific #fraud 
https://t.co/Wzqzlogp84

#ClimateChange https://t.co/gdPvXCeASw"""
